id;ph;acidez;brix;variedad;viniedo;cantidad
1;28995.37;686.5;23165.14;whoa bob;summer bah woot;15121
2;25055.36;4912.3;18662.6;against;blah;3572
3;19926.69;12930.63;4724.74;thorny recovery;understanding;405
4;26328.06;21506.36;30263.11;gadzooks tiny ack;yummy ugh worth;15245
5;28928.78;24465.3;24592.97;fluffy;lightly;9491
6;10753;9866.6;7047.36;anti;suddenly;3377
7;28545.32;11164.07;5683.41;jaggedly;fooey meander including;23819
8;1176.27;28012.71;23344.32;internationalize;vice;12855
9;32031.48;15590.56;6651.72;depart squid aw;stitcher;6583
10;1833.21;21636.67;26553.6;certainly ligate sadly;icebreaker book;22828
